month,rainfall,year
1,4308.986816,2020
2,3645.929443,2020
3,4674.481934,2020
4,706.5740967,2020
5,597.3043823,2020
6,119.5622253,2020
7,34.34124374,2020
8,18.80360222,2020
9,335.0494385,2020
10,966.8795166,2020
11,618.7480469,2020
12,1773.933716,2020
1,1619.726929,2010
2,788.7036133,2010
3,879.7449341,2010
4,467.1225891,2010
5,283.8147278,2010
6,114.8635941,2010
7,30.72054482,2010
8,16.39587021,2010
9,299.8319092,2010
10,793.1574097,2010
11,471.7830505,2010
12,1311.911133,2010
1,1449.370605,2000
2,1050.994507,2000
3,1210.105835,2000
4,478.8616028,2000
5,277.5431213,2000
6,105.8147583,2000
7,31.85993576,2000
8,16.38119507,2000
9,198.0849762,2000
10,488.0419922,2000
11,296.2025452,2000
12,469.4837036,2000
1,2135.892578,1990
2,794.0021973,1990
3,1408.278198,1990
4,426.0104065,1990
5,305.4079895,1990
6,93.30484009,1990
7,31.28907013,1990
8,15.96091366,1990
9,227.1334381,1990
10,456.2293091,1990
11,354.4698792,1990
12,888.4848633,1990
1,2227.327637,1980
2,1969.043579,1980
3,2331.178955,1980
4,807.8601074,1980
5,250.0968323,1980
6,96.46144104,1980
7,32.72600555,1980
8,20.24350357,1980
9,207.7969513,1980
10,467.1594238,1980
11,385.2417908,1980
12,1007.330505,1980
